กอ	k ɔː
วิทยาลัย	w i t̚ 3 . tʰ a 3 . j aː . l a j
คลอด	kʰ l ɔː t̚ 2
อลังการ	ʔ a 1 . l a ŋ . k aː n
ส่วนบุคคล	s u a̯ n 1 . b u k̚ 1 . kʰ o n
จริงใจ	t͡ɕ i ŋ . t͡ɕ a j
สูง	s uː ŋ 4
ชะตา	t͡ɕʰ a 3 . t aː
ขึ้นทะเบียน	kʰ ɯ n 2 . tʰ a 3 . b i a̯ n
เดลตา	d eː l . t aː 2
สวัสติกะ	s a 1 . w a t̚ 1 . t i 1 . k a ʔ 1
ตุล	t u n
ขึงขัง	kʰ ɯ ŋ 4 . kʰ a ŋ 4
ฉัน	t͡ɕʰ a n 4
ตะบองเพชร	t a 1 . b ɔː ŋ . pʰ e t̚ 3
ลูกความ	l uː k̚ 2 . kʰ w aː m
อาทิตย	ʔ aː . tʰ i t̚ 3
เพดานปาก	pʰ eː . d aː n . p aː k̚ 1
ภูตผี	pʰ uː t̚ 2 . pʰ iː 4
ละติน	l a 3 . t i n
แบบฟอร์ม	b ɛː p̚ 1 . f ɔː m
เห็บ	h e p̚ 1
ฝี	f iː 4
การคอย	k aː n . kʰ ɔː j
หัวเราะ	h u a̯ 4 . r ɔ ʔ 3
เยาวราช	j a w . w a 3 . r aː t̚ 2
ไหม้	m a j 2
ลือชา	l ɯː . t͡ɕʰ aː
เจี๋ยมเจี้ยม	t͡ɕ i a̯ m 4 . t͡ɕ i a̯ m 2
ลิสบอน	l i s 3 . b ɔ n 2
เวียง	w i a̯ ŋ
สาขา	s aː 4 . kʰ aː 4
พ้อง	pʰ ɔː ŋ 3
สรเสริญ	s r a 1 . s ɤː n 4
สารอาหาร	s aː n 4 . ʔ aː . h aː n 4
แปรพักตร์	p r ɛː . pʰ a k̚ 3
มณฑล	m o n . tʰ o n
ด้าม	d aː m 2
ยัญ	j a n
กระเบน	k r a 1 . b eː n
หลังจาก	l a ŋ 4 . t͡ɕ aː k̚ 1
ตุนาหงัน	t u 1 . n aː . ŋ a n 4
นิติกรรม	n i 3 . t i 1 . k a m
พึ่ง	pʰ ɯ ŋ 2
เข่า	kʰ a w 1
หน้าอินทร์หน้าพรหม	n aː 2 . ʔ i n . n aː 2 . pʰ r o m
นวล	n u a̯ n
เสียหน้า	s i a̯ 4 . n aː 2
ปากหมา	p aː k̚ 1 . m aː 4
ห้องน้ำ	h ɔ ŋ 2 . n aː m 3
กุลบดี	k u n . l a 3 . b ɔː . d iː
ประหวั่น	p r a 1 . w a n 1
ภูตบดี	pʰ uː . t a 1 . b ɔː . d iː
แพศยา	pʰ ɛː t̚ 2 . s a 1 . j aː 4
ช่องเขา	t͡ɕʰ ɔ ŋ 2 . kʰ a w 4
กำมะหยี่	k a m . m a 3 . j iː 1
เอเธนส์	ʔ eː . tʰ eː n
พิมพ์	pʰ i m
นาฬิกาปลุก	n aː . l i 3 . k aː . p l u k̚ 1
กล้องยาสูบ	k l ɔː ŋ 2 . j aː . s uː p̚ 1
เจ้าหญิง	t͡ɕ aː w 2 . j i ŋ 4
ศีลอด	s iː n 4 . ʔ o t̚ 1
ประปา	p r a 1 . p aː
อบรม	ʔ o p̚ 1 . r o m
เลขคณิต	l eː k̚ 2 . kʰ a 3 . n i t̚ 3
บารอมิเตอร์	b aː . r ɔː . m i 3 . t ɤː 2
กระดูกโกลน	k r a 1 . d uː k̚ 1 . k l oː n
เกณฑ์	k eː n
ระเหิด	r a 3 . h ɤː t̚ 1
คุ้ม	kʰ u m 3
ทรอมโบน	tʰ r ɔ m . b oː n
รู้สึก	r uː 3 . s ɯ k̚ 1
สเปน	s a 1 . p eː n
ดัก	d a k̚ 1
ตะลุง	t a 1 . l u ŋ
กระโถน	k r a 1 . tʰ oː n 4
หอ	h ɔː 4
สะใภ้	s a 1 . pʰ a j 3
วิทัศน์	w i 3 . tʰ a t̚ 3
น่อง	n ɔ ŋ 2
การสอน	k aː n . s ɔː n 4
น้ำจัณฑ์	n aː m 3 . t͡ɕ a n
แก่	k ɛː 1
สะดุ้ง	s a 1 . d u ŋ 2
ล้าสมัย	l aː 3 . s a 1 . m a j 4
สันธาน	s a n 4 . tʰ aː n
ควันหลง	kʰ w a n . l o ŋ 4
บุรุษ	b u 1 . r u t̚ 1
อารยธรรม	ʔ aː . r a 3 . j a 3 . tʰ a m
นักรบ	n a k̚ 3 . r o p̚ 3
บัลลาด	b a n . l aː t̚ 1
จุด	t͡ɕ u t̚ 1
ล็อก	l ɔ k̚ 3
แคน	kʰ ɛː n
ขี่	kʰ iː 1
มายากล	m aː . j aː . k o n
บล็อกเกอร์	b l ɔ k̚ 3 . k ɤː 2
แต่	t ɛː 1
แท่น	tʰ ɛ n 2
โรจน์	r oː t̚ 2
ต่างชาติ	t aː ŋ 1 . t͡ɕʰ aː t̚ 2
ทฤษฎีบท	tʰ r i t̚ 3 . s a 1 . d iː . b o t̚ 1
ปิ่น	p i n 1
เสด็จ	s a 1 . d e t̚ 1
เกลือเป็นหนอน	k l ɯ a̯ . p e n . n ɔː n 4
มั่งมี	m a ŋ 2 . m iː
ก้นหอย	k o n 2 . h ɔ j 4
ดัดจริต	d a t̚ 1 . t͡ɕ a 1 . r i t̚ 1
การเคลื่อนไหว	k aː n . kʰ l ɯ a̯ n 2 . w a j 4
เตียง	t i a̯ ŋ
ยูโด	j uː . d oː
ขั้วโลก	kʰ u a̯ 2 . l oː k̚ 2
เฮลิคอปเตอร์	h eː . l i 3 . kʰ ɔ p̚ 3 . t ɤː 2
กะละแม	k a 1 . l a 3 . m ɛː
ข้อมูล	kʰ ɔː 2 . m uː n
ด้น	d o n 2
ให้สัตยาบัน	h a j 2 . s a t̚ 1 . t a 1 . j aː . b a n
อ้วก	ʔ u a̯ k̚ 2
เล่นไม่ซื่อ	l e n 2 . m a j 2 . s ɯː 2
ถ่อม	tʰ ɔ m 1
คู่สาย	kʰ uː 2 . s aː j 4
แฟบ	f ɛː p̚ 2
เนยเทียม	n ɤː j . tʰ i a̯ m
ศวา	s a 1 . w aː
กลเม็ด	k o n . l a 3 . m e t̚ 3
ป้า	p aː 2
เหล้า	l a w 2
โสน	s a 1 . n oː 4
ใส่ความ	s a j 1 . kʰ w aː m
พระคุณ	pʰ r a 3 . kʰ u n
หมวดหมู่	m u a̯ t̚ 1 . m uː 1
ทำให้	tʰ a m . h a j 2
บอล	b ɔ n
เพราะฉะนั้น	pʰ r ɔ ʔ 3 . t͡ɕʰ a 1 . n a n 3
เก้าอี้ดนตรี	k a w 2 . ʔ iː 2 . d o n . t r iː
นิติศาสตร์	n i 3 . t i 1 . s aː t̚ 1
บันได	b a n . d a j
สระผม	s a 1 . pʰ o m 4
เหล็กดัด	l e k̚ 1 . d a t̚ 1
ทะเลสาบ	tʰ a 3 . l eː . s aː p̚ 1
พระราชกฤษฎีกา	pʰ r a 3 . r aː t̚ 2 . t͡ɕʰ a 3 . k r i t̚ 1 . s a 1 . d iː . k aː
ตัดสิน	t a t̚ 1 . s i n 4
ประติมากร	p r a 1 . t i 1 . m aː . k ɔː n
พีซี	pʰ iː . s iː
อุปัชฌายะ	ʔ u 1 . p a t̚ 1 . t͡ɕʰ aː . j a ʔ 3
การเวก	k aː . r a 3 . w eː k̚ 2
หอนาฬิกา	h ɔː 4 . n aː . l i 3 . k aː
เฮง	h e ŋ
ชักเย่อ	t͡ɕʰ a k̚ 3 . k a 1 . j ɤː 2
อินซูลิน	ʔ i n . s uː . l i n
ธ.ค.	tʰ ɔː . kʰ ɔː
โคมเขียว	kʰ oː m . kʰ i a̯ w 4
ปะทะ	p a 1 . tʰ a ʔ 3
ส้มโอ	s o m 2 . ʔ oː
เบียดเบียน	b i a̯ t̚ 1 . b i a̯ n
โคม่า	kʰ oː . m aː 2
ไม้กวาด	m aː j 3 . k w aː t̚ 1
เลือดเนื้อเชื้อไข	l ɯ a̯ t̚ 2 . n ɯ a̯ 3 . t͡ɕʰ ɯ a̯ 3 . kʰ a j 4
ลาม	l aː m
สุดวิสัย	s u t̚ 1 . w i 3 . s a j 4
ก.ค.	k ɔː . kʰ ɔː
ทอเรียม	tʰ ɔː . r i a̯ m 2
แนวความคิด	n ɛː w . kʰ w aː m . kʰ i t̚ 3
ลูกเต๋า	l uː k̚ 2 . t a w 4
ปั่นป่วน	p a n 1 . p u a̯ n 1
สยามินทร์	s a 1 . j aː 4 . m i n
บัณฑิต	b a n . d i t̚ 1
บริบาล	b ɔː . r i 3 . b aː n
อาจารย์ใหญ่	ʔ aː . t͡ɕ aː n . j a j 1
พยานบุคคล	pʰ a 3 . j aː n . b u k̚ 1 . kʰ o n
ดินสอพอง	d i n . s ɔː 4 . pʰ ɔː ŋ
อาคม	ʔ aː . kʰ o m
ชฎา	t͡ɕʰ a 3 . d aː
ทิพ	tʰ i p̚ 3
ข้าวสวย	kʰ aː w 2 . s u a̯ j 4
แหย่	j ɛː 1
หลวงพ่อ	l u a̯ ŋ 4 . pʰ ɔː 2
ไฟร์ฟอกซ์	f aː j . f ɔ k̚ 3
ชี้	t͡ɕʰ iː 3
เว็บไซต์	w e p̚ 3 . s a j 3
แขวง	kʰ w ɛː ŋ 4
หมวย	m u a̯ j 4
ทันสมัย	tʰ a n . s a 1 . m a j 4
คงอยู่	kʰ o ŋ . j uː 1
รูปธรรม	r uː p̚ 2 . p a 1 . tʰ a m
แหนม	n ɛː m 4
ฟิลิปปินส์	f i 3 . l i p̚ 3 . p i n
สรทะ	s a 1 . r a 3 . tʰ a ʔ 3
คลอง	kʰ l ɔː ŋ
ออสเตรเลีย	ʔ ɔː s 3 . t r eː . l i a̯
หลอม	l ɔː m 4
ค้าง	kʰ aː ŋ 3
เกล้ากระหม่อม	k l aː w 2 . k r a 1 . m ɔ m 1
วิชา	w i 3 . t͡ɕʰ aː
ย้อมแมวขาย	j ɔː m 3 . m ɛː w . kʰ aː j 4
ควักเนื้อ	kʰ w a k̚ 3 . n ɯ a̯ 3
สุวรรณ	s u 1 . w a n
ต่อมลูกหมาก	t ɔ m 1 . l uː k̚ 2 . m aː k̚ 1
รถถีบ	r o t̚ 3 . tʰ iː p̚ 1
ราชาภิเษก	r aː . t͡ɕʰ aː . pʰ i 3 . s eː k̚ 1
สเกต	s a 1 . k e t̚ 3
ชื่อเล่น	t͡ɕʰ ɯː 2 . l e n 2
เรขาคณิต	r eː . kʰ aː 4 . kʰ a 3 . n i t̚ 3
ซาร์	s aː
มะงั่ว	m a 3 . ŋ u a̯ 2
ตับแลบ	t a p̚ 1 . l ɛ p̚ 2
ลัตเวีย	l a t̚ 3 . w i a̯
เก๋ง	k eː ŋ 4
ตบมือ	t o p̚ 1 . m ɯː
เร็ว	r e w
กลองแขก	k l ɔː ŋ . kʰ ɛː k̚ 1
คลื่นใต้น้ำ	kʰ l ɯː n 2 . t a j 2 . n aː m 3
เชิงกราน	t͡ɕʰ ɤː ŋ . k r aː n
แมสซาชูเซตส์	m ɛ t̚ 3 . s aː . t͡ɕʰ uː . s eː t̚ 1
ความจงใจ	kʰ w aː m . t͡ɕ o ŋ . t͡ɕ a j
ปลิ้น	p l i n 2
หมายจับ	m aː j 4 . t͡ɕ a p̚ 1
เรียกร้อง	r i a̯ k̚ 2 . r ɔː ŋ 3
อังคาร	ʔ a ŋ . kʰ aː n
ทุรกันดาร	tʰ u 3 . r a 3 . k a n . d aː n
หมอลำ	m ɔː 4 . l a m
ไขว้	kʰ w a j 2
ยางลบ	j aː ŋ . l o p̚ 3
ชะเนียง	t͡ɕʰ a 3 . n i a̯ ŋ
เฉ่ง	t͡ɕʰ eː ŋ 1
ประดุจ	p r a 1 . d u t̚ 1
มากมาย	m aː k̚ 2 . m aː j
เห็ด	h e t̚ 1
มอเตอร์ไซค์	m ɔː . t ɤː . s a j
เบญจเพส	b e n . t͡ɕ a 1 . pʰ eː t̚ 2
ส่วย	s u a̯ j 1
ถูกต้อง	tʰ uː k̚ 1 . t ɔ ŋ 2
หวด	h u a̯ t̚ 1
บิด	b i t̚ 1
ประเคน	p r a 1 . kʰ eː n
คล้าย	kʰ l aː j 3
รุกราน	r u k̚ 3 . r aː n
ซุ้ม	s u m 3
วอ	w ɔː
แปดสิบ	p ɛː t̚ 1 . s i p̚ 1
โกฏิ	k oː t̚ 1
นายแบบ	n aː j . b ɛː p̚ 1
มติมหาชน	m a 3 . t i 1 . m a 3 . h aː 4 . t͡ɕʰ o n
เทอร์โมมิเตอร์	tʰ ɤː . m oː . m i 3 . t ɤː 2
ข่ม	kʰ o m 1
ยักษ์มักกะสัน	j a k̚ 3 . m a k̚ 3 . k a 1 . s a n 4
บุคคลล้มละลาย	b u k̚ 1 . kʰ o n . l o m 3 . l a 3 . l aː j
ดั้ง	d a ŋ 2
มัจฉา	m a t̚ 3 . t͡ɕʰ aː 4
ตุ๋น	t u n 4
ศาลเจ้า	s aː n 4 . t͡ɕ aː w 2
เวียนเทียน	w i a̯ n . tʰ i a̯ n
ตระบอง	t r a 1 . b ɔː ŋ
ซีนอน	s iː . n ɔ n 2
จำคุก	t͡ɕ a m . kʰ u k̚ 3
ตัวตลก	t u a̯ . t a 1 . l o k̚ 1
ขจี	kʰ a 1 . t͡ɕ iː
ญาติ	j aː t̚ 2
ยูกันดา	j uː . k a n . d aː 2
ศก	s o k̚ 1
ดำรง	d a m . r o ŋ
กิโลไบต์	k i 1 . l oː . b a j 3
แข้ง	kʰ ɛ ŋ 2
ประมุข	p r a 1 . m u k̚ 3
บรรพบุรุษ	b a n . pʰ a 3 . b u 1 . r u t̚ 1
กระดานถีบ	k r a 1 . d aː n . tʰ iː p̚ 1
ต่อไป	t ɔː 1 . p a j
เกลียดปลาไหลกินน้ำแกง	k l i a̯ t̚ 1 . p l aː . l a j 4 . k i n . n aː m 3 . k ɛː ŋ
ฟอร์ม	f ɔː m
เชือก	t͡ɕʰ ɯ a̯ k̚ 2
สดับ	s a 1 . d a p̚ 1
ซัด	s a t̚ 3
โครง	kʰ r oː ŋ
รวมมิตร	r u a̯ m . m i t̚ 3
ไมโครเวฟ	m a j . kʰ r oː . w eː f 3
ปุบปับ	p u p̚ 1 . p a p̚ 1
คร้าน	kʰ r aː n 3
คอน	kʰ ɔː n
ชัน	t͡ɕʰ a n
ฤดูใบไม้ร่วง	r ɯ 3 . d uː . b a j . m aː j 3 . r u a̯ ŋ 2
ผิวขาว	pʰ i w 4 . kʰ aː w 4
แผลเป็น	pʰ l ɛː 4 . p e n
เอาเปรียบ	ʔ a w . p r i a̯ p̚ 1
นิวซีแลนด์	n i w . s iː . l ɛː n
ความรุนแรง	kʰ w aː m . r u n . r ɛː ŋ
เช็กบิล	t͡ɕʰ e k̚ 3 . b i n
นางพญา	n aː ŋ . pʰ a 3 . j aː
ชาวบ้าน	t͡ɕʰ aː w . b aː n 2
น้ำอัดลม	n aː m 3 . ʔ a t̚ 1 . l o m
โลหิต	l oː . h i t̚ 1
ตัวเร่ง	t u a̯ . r e ŋ 2
ความร่วมมือ	kʰ w aː m . r u a̯ m 2 . m ɯː
จำ	t͡ɕ a m
ตด	t o t̚ 1
โดนัท	d oː . n a t̚ 3
ถาด	tʰ aː t̚ 1
ปรีชา	p r iː . t͡ɕʰ aː
ซึ่ง	s ɯ ŋ 2
เช็ก	t͡ɕʰ e k̚ 3
อ่อย	ʔ ɔ j 1
พัทยา	pʰ a t̚ 3 . tʰ a 3 . j aː
กระหวัด	k r a 1 . w a t̚ 1
กุมาร	k u 1 . m aː n
มอง	m ɔː ŋ
นิคม	n i 3 . kʰ o m
วิสามานยนาม	w i 3 . s aː 4 . m aː n . j a 3 . n aː m
อสุจิ	ʔ a 1 . s u 1 . t͡ɕ i ʔ 1
พุทธศักราช	pʰ u t̚ 3 . tʰ a 3 . s a k̚ 1 . k a 1 . r aː t̚ 1
รถแข่ง	r o t̚ 3 . kʰ ɛ ŋ 1
เฆี่ยน	kʰ i a̯ n 2
กฎหมายระหว่างประเทศ	k o t̚ 1 . m aː j 4 . r a 3 . w aː ŋ 1 . p r a 1 . tʰ eː t̚ 2
หัวใจ	h u a̯ 4 . t͡ɕ a j
ตัน	t a n
หลุม	l u m 4
ฉลาก	t͡ɕʰ a 1 . l aː k̚ 1
ห่วงใย	h u a̯ ŋ 1 . j a j
กินี	k i 1 . n iː
ซานมารีโน	s aː n . m aː . r iː . n oː 2
ป่าเถื่อน	p aː 1 . tʰ ɯ a̯ n 1
หอระฆัง	h ɔː 4 . r a 3 . kʰ a ŋ
รายได้	r aː j . d aː j 2
เจี๊ยว	t͡ɕ i a̯ w 3
ดั้น	d a n 2
ฮัลโหล	h a n . l oː 4
หากิน	h aː 4 . k i n
เหี้ย	h i a̯ 2
ต้นหน	t o n 2 . h o n 4
รัฐประศาสน์	r a t̚ 3 . tʰ a 1 . p r a 1 . s aː t̚ 1
บึง	b ɯ ŋ
พ่อ	pʰ ɔː 2
ผิดพลาด	pʰ i t̚ 1 . pʰ l aː t̚ 2
แว้ง	w ɛː ŋ 3
ชานชาลา	t͡ɕʰ aː n . t͡ɕʰ aː . l aː
คู่สมรส	kʰ uː 2 . s o m 4 . r o t̚ 3
ประสก	p r a 1 . s o k̚ 1
อนุกรม	ʔ a 1 . n u 3 . k r o m
หล่อ	l ɔː 1
น่าเชื่อ	n aː 2 . t͡ɕʰ ɯ a̯ 2
ขอนไม้	kʰ ɔː n 4 . m aː j 3
สิ่งแวดล้อม	s i ŋ 1 . w ɛː t̚ 2 . l ɔː m 3
วิธี	w i 3 . tʰ iː
หวาดกลัว	w aː t̚ 1 . k l u a̯
เปาบุ้นจิ้น	p a w . b u n 2 . t͡ɕ i n 2
ประกันภัย	p r a 1 . k a n . pʰ a j
แห่	h ɛː 1
สมณ	s a 1 . m a 3 . n a ʔ 3
จิ๋ม	t͡ɕ i m 4
ป่าชายเลน	p aː 1 . t͡ɕʰ aː j . l eː n
ผงซักฟอก	pʰ o ŋ 4 . s a k̚ 3 . f ɔː k̚ 2
ราชา	r aː . t͡ɕʰ aː
ข้อบังคับ	kʰ ɔː 2 . b a ŋ . kʰ a p̚ 3
เสา	s a w 4
ขนาด	kʰ a 1 . n aː t̚ 1
คราว	kʰ r aː w
เซ็กซี่	s e k̚ 3 . s iː 2
ยิ้ม	j i m 3
แปลง	p l ɛː ŋ
รับเสด็จ	r a p̚ 3 . s a 1 . d e t̚ 1
ดาบส	d aː . b o t̚ 1
ละเว้น	l a 3 . w e n 3
ฟองน้ำ	f ɔː ŋ . n aː m 3
ผู้กำกับ	pʰ uː 2 . k a m . k a p̚ 1
บริเวณ	b ɔː . r i 3 . w eː n
อ่างล้างหน้า	ʔ aː ŋ 1 . l aː ŋ 3 . n aː 2
ความงาม	kʰ w aː m . ŋ aː m
ตลอดไป	t a 1 . l ɔː t̚ 1 . p a j
น้ำผลไม้	n aː m 3 . pʰ o n 4 . l a 3 . m aː j 3
น้ำเค็ม	n a m 3 . kʰ e m
หรอก	r ɔ k̚ 1
ถลก	tʰ a 1 . l o k̚ 1
เกล้ากระผม	k l aː w 2 . k r a 1 . pʰ o m 4
หลอดไฟฟ้า	l ɔː t̚ 1 . f a j . f aː 3
ชื่อเสีย	t͡ɕʰ ɯː 2 . s i a̯ 4
สำรอก	s a m 4 . r ɔː k̚ 2
ความละอาย	kʰ w aː m . l a 3 . ʔ aː j
ปลวก	p l u a̯ k̚ 1
โขด	kʰ oː t̚ 1
จัตุรัส	t͡ɕ a t̚ 1 . t u 1 . r a t̚ 1
ลานบิน	l aː n . b i n
สถบดี	s a 1 . tʰ a 1 . b ɔː . d iː
หักหลัง	h a k̚ 1 . l a ŋ 4
สนธิ	s o n 4 . tʰ i ʔ 3
กระจาด	k r a 1 . t͡ɕ aː t̚ 1
สุภาพ	s u 1 . pʰ aː p̚ 2
ข้อความ	kʰ ɔː 2 . kʰ w aː m
ตกตะกอน	t o k̚ 1 . t a 1 . k ɔː n
ลัก	l a k̚ 3
ทองขาว	tʰ ɔː ŋ . kʰ aː w 4
ภูฏาน	pʰ uː . t aː n
โลภะ	l oː . pʰ a ʔ 3
หมี่	m iː 1
กะ	k a ʔ 1
อยู่ไฟ	j uː 1 . f a j
ทรหด	tʰ ɔː . r a 3 . h o t̚ 1
เส็งเคร็ง	s e ŋ 4 . kʰ r e ŋ
ร่มชูชีพ	r o m 2 . t͡ɕʰ uː . t͡ɕʰ iː p̚ 2
ทันต์	tʰ a n
มหาดเล็ก	m a 3 . h aː t̚ 1 . l e k̚ 3
ริ้วรอย	r i w 3 . r ɔː j
กะเอว	k a 1 . ʔ eː w
ตาชั่ง	t aː . t͡ɕʰ a ŋ 2
จับผิด	t͡ɕ a p̚ 1 . pʰ i t̚ 1
ความล่มจม	kʰ w aː m . l o m 2 . t͡ɕ o m
นาง	n aː ŋ
มาตราส่วน	m aː t̚ 2 . t r aː . s u a̯ n 1
จุลภาค	t͡ɕ u n . l a 3 . pʰ aː k̚ 2
เลียงผา	l i a̯ ŋ . pʰ aː 4
นักมวย	n a k̚ 3 . m u a̯ j
ยะลา	j a 3 . l aː
เล่นลิ้น	l e n 2 . l i n 3
กระบวนการ	k r a 1 . b u a̯ n . k aː n
มลัก	m a 3 . l a k̚ 3
ตัณหา	t a n . h aː 4
หยุ่น	j u n 1
ปราชัย	p a 1 . r aː . t͡ɕʰ a j
ส่วนลด	s u a̯ n 1 . l o t̚ 3
การ	k aː n
กาลกิณี	k aː . l a 3 . k i 1 . n iː
น่าสมเพช	n aː 2 . s o m 4 . pʰ eː t̚ 2
วางมือ	w aː ŋ . m ɯː
ขี้โกง	kʰ iː 2 . k oː ŋ
ความสามารถ	kʰ w aː m . s aː 4 . m aː t̚ 2
เครื่องยนต์ไอพ่น	kʰ r ɯ a̯ ŋ 2 . j o n . ʔ a j . pʰ o n 2
ห้องหับ	h ɔː ŋ 2 . h a p̚ 1
รีไซเคิล	r iː . s a j . kʰ ɤ n 2
สั้น	s a n 2
โนเบเลียม	n oː . b eː . l i a̯ m 2
ลด	l o t̚ 3
รถพยาบาล	r o t̚ 3 . pʰ a 3 . j aː . b aː n
กำพร้า	k a m . pʰ r aː 3
ยำเกรง	j a m . k r eː ŋ
หีบเสียง	h iː p̚ 1 . s i a̯ ŋ 4
เนา	n a w
ค้าน	kʰ aː n 3
เลอ	l ɤː
ทาจิกิสถาน	tʰ aː . t͡ɕ i 1 . k i s 3 . tʰ aː n 4
เบสบอล	b eː s 3 . b ɔ n
ลามะ	l aː . m a ʔ 3
ปารากวัย	p aː . r aː . k w a j
ลายน้ำ	l aː j . n aː m 3
เสี้ยว	s i a̯ w 2
กระจับ	k r a 1 . t͡ɕ a p̚ 1
อิสรภาพ	ʔ i t̚ 1 . s a 1 . r a 1 . pʰ aː p̚ 2
ฮองเฮา	h ɔ ŋ . h a w
เช้ง	t͡ɕʰ e ŋ 3
หมดอายุ	m o t̚ 1 . ʔ aː . j u ʔ 3
อมยิ้ม	ʔ o m . j i m 3
แนะนำ	n ɛ ʔ 3 . n a m
นครศรีธรรมราช	n a 3 . kʰ ɔː n . s iː 4 . tʰ a m . m a 3 . r aː t̚ 2
พาล	pʰ aː n
รส	r o t̚ 3
วัน	w a n
เนิน	n ɤː n
หนังตะลุง	n a ŋ 4 . t a 1 . l u ŋ
คืบ	kʰ ɯː p̚ 2
โคราช	kʰ oː . r aː t̚ 2
กระป๋อง	k r a 1 . p ɔ ŋ 4
จินตภาพ	t͡ɕ i n . t a 1 . pʰ aː p̚ 2
ลัด	l a t̚ 3
วัตถุระเบิด	w a t̚ 3 . tʰ u 1 . r a 3 . b ɤː t̚ 1
โอฐ	ʔ oː t̚ 1
ลูกบอล	l uː k̚ 2 . b ɔ n
คานหาม	kʰ aː n . h aː m 4
ครึ่งวงกลม	kʰ r ɯ ŋ 2 . w o ŋ . k l o m
ปลาย	p l aː j
ทูลกระหม่อม	tʰ uː n . k r a 1 . m ɔ m 1
แปรอักษร	p r ɛː . ʔ a k̚ 1 . s ɔː n 4
ผู้สำเร็จราชการแทนพระองค์	pʰ uː 2 . s a m 4 . r e t̚ 1 . r aː t̚ 2 . t͡ɕʰ a 3 . k aː n . tʰ ɛː n . pʰ r a 3 . ʔ o ŋ
อาศัย	ʔ aː . s a j 4
สุสาน	s u 1 . s aː n 4
กาลักน้ำ	k aː . l a k̚ 3 . n a m 3
การซ่อน	k aː n . s ɔː n 2
สวาซิแลนด์	s a 1 . w aː . s i 3 . l ɛː n
เจลาติน	t͡ɕ eː . l aː . t i n
พุทธรูป	pʰ u t̚ 3 . tʰ a 3 . r uː p̚ 2
เกตุ	k eː t̚ 1
กุมภ์	k u m
หายนะ	h aː 4 . j a 3 . n a ʔ 3
โจทก์	t͡ɕ oː t̚ 1
ขลุ่ย	kʰ l u j 1
เปลี่ยว	p l i a̯ w 1
กาว	k aː w
ทฤษฎี	tʰ r i t̚ 3 . s a 1 . d iː
น่ารัก	n aː 2 . r a k̚ 3
โหล่	l oː 1
สันดาป	s a n 4 . d aː p̚ 1
ผล	pʰ o n 4
ขี้เหล้า	kʰ iː 2 . l a w 2
เถาวัลย์	tʰ a w 4 . w a n
ค่าระวางสินค้า	kʰ aː 2 . r a 3 . w aː ŋ . s i n 4 . kʰ aː 3
นิตยสาร	n i t̚ 3 . t a 1 . j a 3 . s aː n 4
เล็ง	l e ŋ
ทื่อ	tʰ ɯː 2
สวมเขา	s u a̯ m 4 . kʰ a w 4
กริช	k r i t̚ 1
บ๋อย	b ɔ j 4
กอก	k ɔː k̚ 1
แรก	r ɛː k̚ 2
สาย	s aː j 4
โบ๋	b oː 4
จุลชีววิทยา	t͡ɕ u n . l a 3 . t͡ɕʰ iː . w a 3 . w i t̚ 3 . tʰ a 3 . j aː
โมโห	m oː . h oː 4
บั่น	b a n 1
โบรอน	b oː . r ɔ n 2
ลั่น	l a n 2
เหลา	l a w 4
ทายาท	tʰ aː . j aː t̚ 2
วานรินทร์	w aː . n a 3 . r i n
ลื่น	l ɯː n 2
ชาติพันธุ์	t͡ɕʰ aː t̚ 2 . t i 1 . pʰ a n
หนีบ	n iː p̚ 1
กระทำ	k r a 1 . tʰ a m
ขาดใจ	kʰ aː t̚ 1 . t͡ɕ a j
ไขสันหลัง	kʰ a j 4 . s a n 4 . l a ŋ 4
เหมาะเจาะ	m ɔ ʔ 1 . t͡ɕ ɔ ʔ 1
ดัง	d a ŋ
เจ้ากรรมนายเวร	t͡ɕ aː w 2 . k a m . n aː j . w eː n
ศัตรู	s a t̚ 1 . t r uː
เปิด	p ɤː t̚ 1
เข้มข้น	kʰ e m 2 . kʰ o n 2
ความจุ	kʰ w aː m . t͡ɕ u ʔ 1
หงุดหงิด	ŋ u t̚ 1 . ŋ i t̚ 1
รกเรื้อ	r o k̚ 3 . r ɯ a̯ 3
หนอนบ่อนไส้	n ɔː n 4 . b ɔ n 1 . s a j 2
ถอนใจ	tʰ ɔː n 4 . t͡ɕ a j
เทควันโด	tʰ eː . kʰ w a n . d oː 2
บุคคลธรรมดา	b u k̚ 1 . kʰ o n . tʰ a m . m a 3 . d aː
ลิ้น	l i n 3
ความน่าจะเป็น	kʰ w aː m . n aː 2 . t͡ɕ a 1 . p e n
