1_100_104_1	โครงสร้าง จุล ภาพ พื้นผิว   ผิว ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เมื่อ เติม ไพรี ดีน   แสดง ดัง ไมโคร กราฟ รูป ที่   สิบ
1_139_13_7	ก็ จะ ทำ ให้การ เก็บข้อมูล เป็นไป อย่างต่อเนื่อง และ ถูกต้อง มากยิ่งขึ้น
1_139_20_5	หา ค่า ปริมาณ การคายน้ำ ของ พืช โดย วัด จาก ปริมาณ การ กลั่นตัว ของ ไอ น้ำ ใน อากาศ ภายใน ห้อง ที่ ควบคุม สภาพแวดล้อม   อุณหภูมิ   ความชื้น ของ ดิน และ ของ อากาศ   ความ เข้ม แสง
1_139_20_7	โดย ใช้ คอมพิวเตอร์ ต่อ พ่วง กับ เครื่องวัด ต่าง ต่าง   เก็บ รวบรวม ข้อมูล ทาง ภูมิอากาศ อย่างต่อเนื่อง ลง ใน คอมพิวเตอร์
1_139_39_3	รวมทั้ง การคำนวณ ปริมาณ การ ใช้ น้ำ ของ พืช   การ เก็บข้อมูล และ การ แสดงผล ทาง จอภาพ ใน รูป ตัวเลข และ เส้น กราฟ
1_139_59_11	นอกจากนี้ หลัก การทำงาน ของ การ เก็บข้อมูล และ การ ควบคุม ยัง สามารถ นำมา ประยุกต์ ใช้กับ การเกษตร ด้าน อื่น อื่น   ได้ อีก   เช่น   การ ควบคุม สภาพแวดล้อม ใน บ่อ อนุบาล กุ้ง และ ปลา   การ ควบคุม สภาพแวดล้อม ใน โรงเรือน เพาะชำ   และ อื่น อื่น อีก
1_139_59_3	ทำ ให้การ ใช้ น้ำ ชลประทาน มีประสิทธิภาพ มากยิ่งขึ้น   เช่น   พื้นที่ ใน เขต ชลประทาน ใน หน้าแล้ง จะ ต้อง มี การ แบ่งปัน การ ใช้ น้ำ อย่างมีประสิทธิภาพ
1_139_59_4	ซึ่ง จาก ข้อมูล การ ใช้ น้ำ ของ พืช แต่ละ ชนิด ใน ช่วง ระยะเวลา หนึ่ง หนึ่ง   ที่ คำนวณ ได้ จาก ข้อมูล ทาง ภูมิอากาศ นี้ ทำให้ สามารถ กำหนด ปริมาณ น้ำ ที่ ต้อง ปล่อย ให้ ใน แต่ละ พื้นที่ ได้ อย่างเหมาะสม และ ถูกต้อง
1_139_7_1	หน่วยงาน ที่ สังกัด   ภาควิชา ปฐพีวิทยา   คณะ เทคโนโลยี การเกษตร
1_13_18_7	ต่อมา เมื่อ วิธีการ ทาง คณิตศาสตร์   ตลอดจน ความรู้ ด้าน รังสี เอ็กซ์ พัฒนา ขึ้น เรื่อย เรื่อย   เวลา ใน การ สร้างภาพ ลดลง มาก
1_13_24_2	หลัก การทำงาน รุ่น นี้ ใช้ หลักการ เคลื่อน ที่แล้ว หมุน ของ หลอด รังสี เอ็กซ์ กับ ตัวรับ รังสี
1_13_25_3	ทำให้ เวลา ใน การ เก็บข้อมูล ใน ช่วง เคลื่อนที่ แนวตรง ลดลง
1_13_31_2	ปัจจุบัน ได้ นำ เข้าเครื่อง ดังกล่าว ของ บริษัท ฮิตาชิ   ติดตั้ง ที่ โรงพยาบาล สยาม   และ   โรงพยาบาล พญาไท
1_13_32_1	จาก การ ตรวจสอบ วารสาร ต่างประเทศ   หนึ่ง   บอ กว่า คอมพิวเตอร์ ถ่ายภาพ ตัด ขวาง ร่างกาย โดย ใช้ รังสี เอ็กซ์ ยัง เป็นที่นิยม และ มี การ ใช้ เพิ่มขึ้น   ยี่สิบ   เปอร์เซ็นต์ ใน ปี   หนึ่ง พัน เก้า ร้อย แปดสิบ แปด   เพราะว่า
1_13_47_3	ใน รูป ที่หก   ระบบ ไมโครคอมพิวเตอร์ ชุด แรก   ทำหน้าที่ ใน การ อ่าน ข้อมูลเข้า ไมโครคอมพิวเตอร์
1_13_76_3	ส่วน ใน อันดับ สอง ขอ ขอบคุณ   ศาสตราจารย์ นายแพทย์ ร่ม ไทร   สุว รร ณิก   กับ คณะกรรมการ ผู้ติดตาม ผลงานวิจัย   จาก สำนักงาน คณะกรรมการ วิจัย แห่งชาติ   ที่ ให้ ข้อคิดเห็น ที่ เป็นประโยชน์ ต่อ โครงการวิจัย
1_13_76_4	สุดท้าย ขอ ขอบคุณ   คุณ คง ศักดิ์   ต ดิ ธา นุ กู ล   กรรมการผู้จัดการ บริษัท คง ศักดิ์ เอ็กซ์เรย์ การแพทย์ อุตสาหกรรม จำกัด   ที่ สนับสนุน ใน การ เดินทาง มา บรรยาย ใน ครั้งนี้
1_13_8_10	เพราะ สามารถ ถ่ายภาพ หลอด น้ำ   ท่อ พีวีซี   กระดูก หมู และ สิ่งมีชีวิต   คือ   หนู   เป็น ผลสำเร็จ ภายใต้ ข้อจำกัด ด้าน สมรรถนะ และ คุณภาพ ของ อุปกรณ์ รังสี เอ็กซ์
